RAJ2000	DEJ2000	HIP	RArad	DErad	Plx	pmRA	pmDE	Hpmag	B-V
336.1145658631	-48.8156525221	110604	336.11451902	-48.81563463	   1.99	   12.69	   -7.36	 7.8290	 1.295
336.1144265856	+03.8182571830	110605	336.11444676	+03.81843162	   4.37	   -8.28	  -71.77	 8.8306	 0.486
336.1183877212	+14.8954090248	110606	336.11837002	+14.89537940	   2.97	    7.04	   12.19	 8.1816	 1.571
336.1191572522	-09.8002305739	110607	336.11916026	-09.80022348	   2.76	   -1.22	   -2.92	 8.6284	 1.399
336.1272297657	-30.3279046246	110608	336.12752561	-30.32766206	   9.64	 -105.06	  -99.80	 9.9360	 0.562
336.1291278223	+49.4763937872	110609	336.12914858	+49.47640071	   1.45	   -5.55	   -2.85	 4.6112	 0.092
336.1369317915	+71.0468130758	110610	336.13698447	+71.04686385	   3.97	   -7.04	  -20.89	 7.4864	 0.141
336.1376744590	-13.1848851209	110611	336.13769376	-13.18483909	   3.35	   -7.73	  -18.94	 7.7744	 1.509
336.1380110483	-08.1065651834	110612	336.13798804	-08.10654985	   7.22	    9.37	   -6.31	 9.8086	 0.545
336.1390001388	+08.1748909414	110613	336.13891213	+08.17494704	   5.21	   35.84	  -23.08	 8.4654	 1.173
336.1389025288	+20.2761305395	110614	336.13895622	+20.27624169	   5.25	  -20.72	  -45.73	 8.9901	 0.875
336.1402255577	-17.5931193410	110615	336.14025032	-17.59309224	   1.66	   -9.71	  -11.15	 7.9071	 1.541
336.1412457798	-23.3674473286	110616	336.14124663	-23.36744103	   2.46	   -0.32	   -2.59	 7.4719	-0.114
336.1434826394	+16.1501301084	110617	336.14346880	+16.15014605	   2.31	    5.47	   -6.56	 8.8287	 1.623
336.1536841975	-72.2554128019	110618	336.14329525	-72.25377381	  34.84	 1302.70	 -674.44	 5.3997	 0.660
336.1494554313	-01.1866756983	110619	336.14917598	-01.18676636	   4.82	  114.95	   37.30	 6.9031	 1.005
336.1515943464	-11.5786879231	110620	336.15117507	-11.57833785	  19.63	  168.99	 -144.03	10.9278	 1.236
336.1526624211	+26.7153757887	110621	336.15269733	+26.71539956	   9.29	  -12.83	   -9.78	 9.0974	 0.409
336.1539347132	+41.3066384503	110622	336.15395322	+41.30666818	   2.16	   -5.72	  -12.23	 8.3449	 0.021
336.1558470766	+16.8969733770	110623	336.15552790	+16.89687866	  17.31	  125.65	   38.97	 8.4197	 0.702
336.1566837625	-39.1270607793	110624	336.15633839	-39.12704107	   7.92	  110.23	   -8.11	 6.9059	 0.143
336.1568831684	+23.6283583467	110625	336.15689481	+23.62836117	   2.50	   -4.39	   -1.16	 9.7926	 1.555
336.1577543771	+39.4307499288	110626	336.15715045	+39.43052525	  20.31	  191.92	   92.44	 8.1700	 0.678
336.1600278054	+32.4494732446	110627	336.15998621	+32.44939940	   1.50	   14.44	   30.38	 8.6346	 0.996
336.1617158668	-33.2696516926	110628	336.16178674	-33.26953070	  11.83	  -24.38	  -49.78	 8.0007	 0.544
336.1634557632	-41.4403359336	110629	336.16296239	-41.44025704	  21.83	  152.17	  -32.46	 6.7435	 0.471
336.1658738569	-65.6214361705	110630	336.16574425	-65.62143581	   5.41	   22.01	   -0.15	 7.3441	-0.036
336.1672952267	-51.7508316860	110631	336.16722169	-51.75082138	   4.65	   18.73	   -4.24	 8.7572	 0.854
336.1690970438	-41.4405844819	110632	336.16856297	-41.44049446	  20.02	  164.72	  -37.04	 8.8918	 0.472
336.1686668385	-38.2101805075	110633	336.16862746	-38.21019553	   3.27	   12.73	    6.18	 8.4558	 1.145
336.1722639618	+63.5704016611	110634	336.17215005	+63.57037706	   4.02	   20.86	   10.12	 7.8789	 0.953
336.1767258094	+74.8502579844	110635	336.17688996	+74.85021161	   4.72	  -17.65	   19.08	 8.5684	 0.937
336.1809238383	+09.8101646442	110636	336.18091780	+09.81012469	   4.16	    2.45	   16.44	 7.1432	 1.622
336.1839228129	-12.9577759737	110637	336.18389628	-12.95771205	   3.17	   10.64	  -26.30	 7.9067	 1.360
336.1875988038	+18.8631154396	110638	336.18753880	+18.86312638	   4.72	   23.36	   -4.50	 7.9458	 0.103
